team,ball,gauge,halftime_psi,start_psi,delta
Patriots,P1,A,11.50,12.5,-1.00
Patriots,P2,A,10.85,12.5,-1.65
Patriots,P3,A,11.15,12.5,-1.35
Patriots,P4,A,10.70,12.5,-1.80
Patriots,P5,A,11.10,12.5,-1.40
Patriots,P6,A,11.60,12.5,-0.90
Patriots,P7,A,11.85,12.5,-0.65
Patriots,P8,A,11.10,12.5,-1.40
Patriots,P9,A,10.95,12.5,-1.55
Patriots,P10,A,10.50,12.5,-2.00
Patriots,P11,A,10.90,12.5,-1.60
Patriots,P1,B,11.80,12.5,-0.70
Patriots,P2,B,11.20,12.5,-1.30
Patriots,P3,B,11.50,12.5,-1.00
Patriots,P4,B,11.00,12.5,-1.50
Patriots,P5,B,11.45,12.5,-1.05
Patriots,P6,B,11.95,12.5,-0.55
Patriots,P7,B,12.30,12.5,-0.20
Patriots,P8,B,11.55,12.5,-0.95
Patriots,P9,B,11.35,12.5,-1.15
Patriots,P10,B,10.90,12.5,-1.60
Patriots,P11,B,11.35,12.5,-1.15
Colts,C1,A,12.70,13.0,-0.30
Colts,C2,A,12.75,13.0,-0.25
Colts,C3,A,12.50,13.0,-0.50
Colts,C4,A,12.55,13.0,-0.45
Colts,C1,B,12.35,13.0,-0.65
Colts,C2,B,12.30,13.0,-0.70
Colts,C3,B,12.95,13.0,-0.05
Colts,C4,B,12.15,13.0,-0.85
